comment_text,toxic,svm_predicted_toxic,svm_toxicity_probability
Magazine against especially home well water professional everyone really should politics.,0,0,0.01514087924466532
Visit floor expect there as may process few north others thousand.,0,0,0.051654285801803035
Hour sister high case east network create animal rather miss issue these series capital most hair again town statement before them rise each interest save film.,1,0,0.017772878041816258
Prepare coach example eye boy member population explain respond report station mouth.,0,0,0.015435083810397167
Physical decision explain response state skill will along them firm say field house ago career campaign rich American senior member.,1,0,0.010662482433720673
Cut when example PM area scientist challenge wide thousand start concern Congress available unit president product Republican wide ready list population western people order successful data answer.,1,0,0.04857992070204764
Throughout test could end realize.,1,0,0.1007504496733061
American remember actually hot practice office song affect item cell really close security.,0,0,0.010659314430881361
Listen hospital gun stay natural reach hotel represent such yourself order week.,1,0,0.0650277354213477
Big feeling new small interest day act player who trade audience story marriage.,0,0,0.009691357733695139
Beat save learn identify include mind.,1,0,0.1437686289133726
Seat however air book well tree they smile pass society month affect you affect interview hit practice cause loss either million.,0,0,0.020135606453783192
Also book standard six condition car indicate teacher another above.,1,0,0.03233804934456131
Firm identify before author sure situation thank ask letter discuss let account recognize he table technology after admit student.,0,0,0.019859588489142148
Talk sit energy visit their section practice paper go song physical.,1,0,0.01309783187294176
Organization letter positive day computer wonder billion.,0,0,0.0437127206993618
Occur argue trial own blue.,1,0,0.02706523703066274
Activity shake establish TV.,0,0,0.035170912804914495
Into edge treat project contain challenge quickly since fine.,1,0,0.02138902080234488
Skin safe day manager scene indeed mind so dream red.,0,0,0.03546630896347778
Bar professional painting teacher turn air hospital memory probably low foot catch prevent generation training science where particular single mouth right.,1,0,0.0536031537273011
Factor large team letter amount range president color seat heavy recent fire base just full scientist.,0,0,0.028506006670908166
Together tax car happen news area bank soon.,1,0,0.022136781499943362
It page but miss baby campaign population bit stock finally recognize sort wonder hair.,1,0,0.009062106032309546
Behind young design agreement administration listen campaign way or road month wear behind protect music.,0,0,0.013748067199405637
West appear campaign quite writer series reality business heart instead week.,0,0,0.01358315146675476
Form idea weight various born unit under skill area professional art mouth air and.,1,0,0.06524980875596627
Particular must firm prevent.,0,0,0.04606507821092684
Area fly worker other military listen race poor shoulder turn paper gun center affect group.,1,0,0.02347936435350367
Send rest life Mrs exactly somebody foot television very space report represent ground.,0,0,0.08948069591568666
Bar after find knowledge most road Mrs citizen.,1,0,0.016226925873698388
Bag great hot rise role standard treat society lawyer painting situation somebody happen compare be foreign trial.,0,0,0.032953467233919544
Modern note art discussion star take mind lot almost remain simply nearly well state occur right total understand cause myself body everybody gas myself rule sort.,1,0,0.01628784151432423
Shoulder wait time voice with side recently learn less determine law industry.,1,0,0.022057093735590942
Art the son tree wear grow town teach benefit behind himself drug cold organization be think.,1,0,0.061888222876424745
Public child record partner including.,0,0,0.030814256188677037
Animal maintain rule strategy film important boy firm.,1,0,0.02975669578921829
Bring hotel what decision short reality popular two during item upon.,0,0,0.018712576765288473
Cultural hospital vote brother article manage cell.,0,0,0.01299708902182092
Cell wide discuss box choose behind painting choose instead since above decision common nearly.,0,0,0.007882876977602213
Day option experience their fire parent play child since create table pick thank identify particularly yourself show.,1,0,0.032432807101533456
Reveal that open draw ahead story power effect once everybody know probably central type job decide describe.,0,0,0.010975457936457406
Later whether either room page view fact learn.,1,0,0.025893451434936307
Book force house language space travel nature yard successful yet ten in card the establish woman so.,0,0,0.07858754538301473
Nor night radio finish task.,1,0,0.0025098116371126155
Seem building give policy admit middle concern walk place language build performance which task change low knowledge writer store.,0,0,0.05251582036935331
Just visit present only let white matter store network offer material environmental analysis.,0,0,0.04411634716847331
Wonder so career situation team face.,0,0,0.18170105789376573
Paper send institution computer cell board try business.,1,0,0.018165515560158024
Truth trial authority want travel different time industry artist may crime too sport writer TV western resource within.,0,0,0.07804891366148964
Seven quality someone compare majority none.,1,0,0.036947442369181155
Order agreement turn because more must result painting.,0,0,0.02161035635646223
Around deep same management education to also team sort specific turn clearly suddenly can soldier those spring surface me church enough young health.,0,0,0.009179089420485266
Low own air into exist worry special moment get remain involve our.,0,0,0.19866581091960164
Writer blue impact get.,1,0,0.033118526065453555
Chance it once machine security TV chance.,1,0,0.009367819907068715
Force skin fear maintain just middle door administration deep every though suffer.,1,0,0.05264865357401426
Score source will direction feeling health question all police usually down training.,0,0,0.016067576054059077
Program certain either today white whether seat speak free.,1,0,0.07913051926357376
Section hundred similar when result.,0,0,0.016699248342328384
Like prepare form because work then specific mother team.,1,0,0.22850218197724262
Also training nor generation shake thought.,0,0,0.038136547585246365
Why person return throughout grow small director my stop country wall Republican him company realize big.,1,0,0.04993851606712487
Every girl current ahead language stay near man card relate may whom.,0,0,0.1432642606232673
Left physical group although clear black thought through expert radio make community our will hair language forward.,0,0,0.01892471663191184
Sure water support over rather need outside must take arrive who.,0,0,0.002671457189419347
With any just factor true night computer.,1,0,0.00964600837275458
Same per claim most born reduce other my letter physical citizen yourself local.,0,0,0.05574379949839996
Western cell coach so scene weight daughter final couple career benefit government recent media talk tax.,1,0,0.14359820433289577
Game six wear just reason involve church executive determine most I.,0,0,0.08153299743365443
Interest during Congress behavior especially make establish Mr successful trouble computer war challenge point decision sometimes.,1,0,0.023405056269154862
Include part computer country major agency analysis station remain score provide.,0,0,0.0357278769634328
Area charge south theory choice concern remain morning sport alone word capital free.,1,0,0.07949479694299334
Inside test term body world animal tonight government strong everything able guy law keep meeting health manage state strong ready let place.,0,0,0.0657915983659635
Push challenge baby fish difficult sign son probably care exactly travel election woman officer blood conference bad defense.,1,0,0.04785938475451141
Adult project not growth travel her say establish kid carry help right include must process town center.,0,0,0.35744040420805284
Energy new early purpose defense provide sport off admit husband specific own treat among organization economic response serve movie my product character.,1,0,0.023767203918437074
Detail purpose worker receive senior manage sister energy former mouth second clearly join.,0,0,0.07219091052121954
Relationship especially bag out who food day.,1,0,0.019454710501337128
Billion if own buy wrong lot yeah modern water.,0,0,0.039455634198570025
Long research artist share.,1,0,0.20666069476735394
Reason change audience section group forward certainly no total hit speech future public almost nothing power minute.,0,0,0.04366693581744158
Design against carry free lawyer guess stay concern.,1,0,0.09166968878612973
Head above nation than soon service management thousand difficult.,0,0,0.04424240117508177
Local drug late.,1,0,0.03515454962615905
Heart nothing finally foreign same moment win heavy direction campaign.,0,0,0.015017569833555393
Cell realize not eight rise and finally cause mother audience today.,1,0,0.03423689570137338
Drive short opportunity child individual.,0,0,0.03886379342364979
Election nearly hand stand court me vote issue model face decision entire let.,1,0,0.17499555091838007
Final professional still class trial final name.,0,0,0.7038324530624337
Away how she state reach mean turn attorney large table.,1,0,0.008145686102146384
Continue smile everything each better knowledge staff.,0,0,0.007901981515587289
Born special catch experience might material into cold line no step game word recently strategy save pattern.,1,0,0.05981492157722603
Center response nor serve important eat west with age.,0,0,0.09543610690779034
East all compare entire state fund oil crime federal respond support son though three task happen several production eight never.,1,0,0.013000429611592607
Character western feeling lot safe man many growth purpose might war interest fall.,0,0,0.014588079979065796
Community activity race run billion everyone dinner conference mean finish have glass.,1,0,0.017157547394188514
Guess item realize religious loss.,1,0,0.02350699297441579
Right head room south step professor summer someone space expect own fly least professional morning during avoid.,1,0,0.071564896225019
Condition military risk his court economic present draw service threat seven eight.,0,0,0.018211514057796883
Former foot rate beautiful hotel yard artist later pretty sing much series hot include.,1,0,0.10673335454924224
Look throw especially couple growth language finally else generation different do student work usually industry.,0,0,0.18260391668011458
Board science under peace call imagine financial plant rate day resource society knowledge.,1,0,0.029303408981916926
Long value push star send however early such expert value because same interesting out result quality reveal total live spend sell like.,0,0,0.060642432686904744
Phone or day visit morning speak next reduce no company section water game exist gas group.,1,0,0.06786329709916164
Rise wrong bar stay from above reflect long.,0,0,0.05935017529022156
